model,size,ranks,nodes,rep,N,pure_dynamics_s,giups
mpi,L,32,4,1,8996,1.8760403179999992,8.626575796224442
mpi,L,32,4,2,8996,1.8845518030000008,8.587614293349299
mpi,L,32,4,3,8996,1.8943060139999996,8.543394721017869
mpi,L,64,4,1,8996,0.9956581070000005,16.254378773415635
mpi,L,64,4,2,8996,0.9938611949999996,16.283766869477187
mpi,L,64,4,3,8996,1.0051466200000003,16.100938587447068
mpi,L,128,4,1,8996,0.632955982,25.568608971610917
mpi,L,128,4,2,8996,0.6375854629999997,25.382956386507207
mpi,L,128,4,3,8996,0.6366779159999995,25.419138301005578
mpi,M,1,1,1,2231,3.516501076999998,0.28295910571677624
mpi,M,1,1,2,2231,3.5170831580000024,0.2829122756840995
mpi,M,1,1,3,2231,3.5167195429999993,0.2829415277031661
mpi,M,2,1,1,2231,1.7596662310000002,0.5654629170411124
mpi,M,2,1,2,2231,1.7598754620000008,0.5653956893456586
mpi,M,2,1,3,2231,1.7592343929999998,0.5656017208162892
mpi,M,4,1,1,2231,0.8822134130000011,1.1278744863064087
mpi,M,4,1,2,2231,0.8822774420000004,1.1277926337370865
mpi,M,4,1,3,2231,0.8817482800000008,1.1284694538899458
mpi,M,8,1,1,2231,0.446588542,2.2280598502233855
mpi,M,8,1,2,2231,0.44636119399999974,2.2291946821882562
mpi,M,8,1,3,2231,0.44560598499999987,2.2329727012082214
mpi,M,16,1,1,2231,0.23672825999999983,4.203241302918379
mpi,M,16,1,2,2231,0.2355944479999998,4.223469646449397
mpi,M,16,1,3,2231,0.235719453,4.221229887208333
mpi,M,32,1,1,2231,0.1294277649999999,7.687886752892633
mpi,M,32,1,2,2231,0.12713047100000008,7.826809671774121
mpi,M,32,1,3,2231,0.12776429599999994,7.787981706563784
mpi,M,32,4,1,2231,0.18355428100000007,5.420881466665436
mpi,M,32,4,2,2231,0.1701400119999999,5.848277476317567
mpi,M,32,4,3,2231,0.18860305800000088,5.275768116124582
mpi,M,64,4,1,2231,0.09513935599999997,10.458616095740656
mpi,M,64,4,2,2231,0.08934839099999999,11.136473627152393
mpi,M,64,4,3,2231,0.09119228499999997,10.91129584043212
mpi,M,128,4,1,2231,0.30917023200000004,3.2183758234524977
mpi,M,128,4,2,2231,0.09199403799999997,10.816200936847672
mpi,M,128,4,3,2231,0.08752348999999997,11.368673712622753
mpi,XL,64,4,1,35919,3.7267584030000007,17.309126357123823
mpi,XL,64,4,2,35919,3.7178838639999996,17.350443009964877
mpi,XL,64,4,3,35919,3.806296883,16.947425301506623
mpi,XL,128,4,1,35919,2.062278587,31.27944619443406
mpi,XL,128,4,2,35919,2.002331342999999,32.215912878511055
mpi,XL,128,4,3,35919,1.986137408,32.478584734455595
mpi_weak,W1,1,1,1,2231,3.5167011309999943,0.28294300906857517
mpi_weak,W1,1,1,2,2231,3.5167625659999984,0.2829380662828633
mpi_weak,W16,16,1,1,8996,3.720449223999997,4.349959648851268
mpi_weak,W16,16,1,2,8996,3.7160691290000036,4.35508690452028
mpi_weak,W4,4,1,1,4481,3.5525521970000002,1.1301666456556219
mpi_weak,W4,4,1,2,4481,3.5504716720000005,1.1308289069486763
mpi_weak,W64,64,4,1,17958,3.8009468329999967,16.967972464138924
mpi_weak,W64,64,4,2,17958,3.807573450000003,16.938441778450773
