model,size,rep,N,steps,pure_dynamics_s,giups
serial,S,1,567,200,0.22754348999999993,0.2820753078894941
serial,S,2,567,200,0.22770297099999995,0.2818777450207271
omp32,S,1,567,200,0.010988248999999999,5.841185433639155
omp32,S,2,567,200,0.011115077,5.774534895259835
omp32,S,3,567,200,0.011181551,5.740205450925369
cuda,S,1,567,200,0.035897362000000016,1.7879976807209392
cuda,S,2,567,200,0.036007024,1.7825522042588136
cuda,S,3,567,200,0.03601582899999998,1.7821164133137137
serial,M,1,2231,200,3.5153261419999993,0.2830536797458835
serial,M,2,2231,200,3.516323516999997,0.2829733939978654
omp32,M,1,2231,200,0.11882360600000001,8.373975790635406
omp32,M,2,2231,200,0.11805481799999995,8.428508186764562
omp32,M,3,2231,200,0.12045802300000001,8.260354729547569
cuda,M,1,2231,200,0.12591160299999998,7.902575904779801
cuda,M,2,2231,200,0.11230077599999998,8.860366200853324
cuda,M,3,2231,200,0.11221133799999995,8.867428352026248
serial,L,1,8996,200,57.110165062999975,0.28337869418074957
serial,L,2,8996,200,57.14413443200003,0.2832102395261282
omp32,L,1,8996,200,1.8793783429999988,8.611253854381575
omp32,L,2,8996,200,1.929593732,8.387156182988678
omp32,L,3,8996,200,1.9322253439999995,8.375733218826884
cuda,L,1,8996,200,0.47266228099999974,34.23967735644217
cuda,L,2,8996,200,0.43995049799999986,36.78551126449686
cuda,L,3,8996,200,0.439911522,36.78877044734463
serial,XL,1,35919,50,227.61106337399997,0.28340859685719755
serial,XL,2,35919,50,227.794987956,0.283179769137238
omp32,XL,1,35919,50,7.501490436999999,8.59921540149262
omp32,XL,2,35919,50,7.6449416690000005,8.437857984132645
omp32,XL,3,35919,50,7.666771802000002,8.41383228377455
cuda,XL,1,35919,50,0.6122173309999999,105.36606664602903
cuda,XL,2,35919,50,0.6135076879999999,105.14445598927851
cuda,XL,3,35919,50,0.6055939180000003,106.51846094002543
omp32,XXL,1,143768,10,25.63570648,8.062619250273144
omp32,XXL,2,143768,10,25.600964281000003,8.0735607569828
cuda,XXL,1,143768,10,1.343398452,153.85676546841816
cuda,XXL,2,143768,10,1.3375933739999997,154.52449494565158
cuda,XXL,3,143768,10,1.3512103349999998,152.96725846905252
